ExpBlock	VialNum	VialCopyID	Genotype	GenotypeID	MetBatch	Age	SampleID
Block2	60	A	Ral_355	B	Batch8	Day24	Sample171
Block1	69	A	Ral_502	B	Batch8	Day04	Sample172
Block2	70	A	Ral_38	B	Batch8	Day10	Sample173
Block1	49	A	Ral_440	B	Batch8	Day45	Sample174
Block1	69	A	Ral_502	B	Batch8	Day69	Sample175
Block2	70	A	Ral_38	B	Batch8	Day45	Sample176
Block1	69	A	Ral_502	B	Batch8	Day24	Sample177
Block2	70	A	Ral_38	B	Batch8	Day24	Sample178
Block1	49	A	Ral_440	B	Batch8	Day24	Sample179
Block1	69	A	Ral_502	B	Batch8	Day45	Sample180
Block1	49	A	Ral_440	B	Batch8	Day04	Sample181
Block2	60	A	Ral_355	B	Batch8	Day45	Sample182
